lambda,val_loss,train_loss,nonpositive_jacobian_mean
0.001,0.00221544296441443,0.00216809548088349,0.0412564319779116
0.005,0.0028602513252275,0.0032482477394864,0.00694653614457831
0.01,0.00296388679247224,0.00324012281605974,0.00212961219879518
0.05,0.00440179215161974,0.00452911010943353,0.000354543172690763
0.1,0.0049299681488637,0.00512875821674243,0
0.5,0.006041486177233,0.00622852095868439,0
