regularization,val_loss,train_loss,nonpositive_jacobian_mean
l2,0.0032230377280018686,0.0031789621815551073,0.0028983119979919675
l1,0.00465316285539828,0.004749236768111587,0.006789658634538152
bend,0.0026451296316626683,0.0026961915017454886,0.006456293925702811
